text,category,concept,dataset_type
How do I write the code for SQL Joins?,Procedural,SQL Joins,SYNTHETIC
I keep mixing up the terminology for Hash Tables really,Terminology,Hash Tables,SYNTHETIC
Give me a real-world example of Heap Sort,Application,Heap Sort,SYNTHETIC
I keep mixing up the terminology for Recursion,Terminology,Recursion,SYNTHETIC
What are the steps for Big O Notation?,Procedural,Big O Notation,SYNTHETIC
The computation for Graph Traversal is confusing,Calculation,Graph Traversal,SYNTHETIC
What's the difference between Stack Operations and Set Theory? kind of,Conceptual,Stack Operations,SYNTHETIC
What does the term Hash Tables mean? sort of,Terminology,Hash Tables,SYNTHETIC
I keep getting the wrong answer for Sorting Algorithms calculations basically,Calculation,Sorting Algorithms,SYNTHETIC
I'm stuck on the algorithm for Big O Notation,Procedural,Big O Notation,SYNTHETIC
I understand Linked Lists but don't know when to apply it,Application,Linked Lists,SYNTHETIC
Can someone explain Binary Search differently?,Conceptual,Binary Search,SYNTHETIC
I'm confused about the concept of Hash Tables,Conceptual,Hash Tables,SYNTHETIC
I understand Binary Search but don't know when to apply it really,Application,Binary Search,SYNTHETIC
I can't derive the formula for Dynamic Programming,Calculation,Dynamic Programming,SYNTHETIC
What are the steps for Big O Notation?,Procedural,Big O Notation,SYNTHETIC
I'm stuck on the algorithm for Binary Search,Procedural,Binary Search,SYNTHETIC
What method should I use for Binary Search?,Procedural,Binary Search,SYNTHETIC
I'm stuck on the algorithm for Dynamic Programming,Procedural,Dynamic Programming,SYNTHETIC
The theory behind Binary Search makes no sense to me,Conceptual,Binary Search,SYNTHETIC
Give me a real-world example of Big O Notation,Application,Big O Notation,SYNTHETIC
I don't have the background for Binary Search,Prerequisite,Binary Search,SYNTHETIC
The theory behind Binary Search makes no sense to me,Conceptual,Binary Search,SYNTHETIC
I'm confused about the concept of Pointer Arithmetic,Conceptual,Pointer Arithmetic,SYNTHETIC
I keep mixing up the terminology for Hash Tables,Terminology,Hash Tables,SYNTHETIC
The notation for Normalization is confusing,Terminology,Normalization,SYNTHETIC
When would I actually need Stack Operations?,Application,Stack Operations,SYNTHETIC
I understand the steps but not why Linked Lists is important,Conceptual,Linked Lists,SYNTHETIC
How do I write the code for Heap Sort? kind of,Procedural,Heap Sort,SYNTHETIC
The procedure for Linked Lists is confusing,Procedural,Linked Lists,SYNTHETIC
I understand the steps but not why Linked Lists is important,Conceptual,Linked Lists,SYNTHETIC
What's the difference between SQL Joins and Arrays?,Conceptual,SQL Joins,SYNTHETIC
I need a refresher on Variables to understand Hash Tables,Prerequisite,Hash Tables,SYNTHETIC
What does the term Normalization mean?,Terminology,Normalization,SYNTHETIC
When should I use Normalization vs Probability?,Application,Normalization,SYNTHETIC
I keep mixing up the terminology for Dynamic Programming,Terminology,Dynamic Programming,SYNTHETIC
Can someone explain Binary Trees differently?,Conceptual,Binary Trees,SYNTHETIC
What's the symbol for Recursion?,Terminology,Recursion,SYNTHETIC
I'm stuck on the algorithm for Pointer Arithmetic,Procedural,Pointer Arithmetic,SYNTHETIC
I know what Hash Tables is but can't do it basically,Procedural,Hash Tables,SYNTHETIC
I can't derive the formula for Pointer Arithmetic,Calculation,Pointer Arithmetic,SYNTHETIC
The theory behind Normalization makes no sense to me,Conceptual,Normalization,SYNTHETIC
The abbreviations in SQL Joins are confusing,Terminology,SQL Joins,SYNTHETIC
How is Recursion used in practice?,Application,Recursion,SYNTHETIC
How do I compute Pointer Arithmetic step by step?,Calculation,Pointer Arithmetic,SYNTHETIC
I'm confused about the concept of Dynamic Programming,Conceptual,Dynamic Programming,SYNTHETIC
What's the symbol for Binary Search?,Terminology,Binary Search,SYNTHETIC
What is the purpose of Recursion?,Conceptual,Recursion,SYNTHETIC
The computation for Stack Operations is confusing,Calculation,Stack Operations,SYNTHETIC
How do I write the code for Sorting Algorithms? really,Procedural,Sorting Algorithms,SYNTHETIC
I can solve textbook problems but not real Binary Trees problems basically,Application,Binary Trees,SYNTHETIC
My math for Normalization doesn't match the expected result,Calculation,Normalization,SYNTHETIC
I keep mixing up the terminology for Graph Traversal,Terminology,Graph Traversal,SYNTHETIC
When should I use Binary Search vs Variables? basically,Application,Binary Search,SYNTHETIC
Can someone explain Binary Trees differently? kind of,Conceptual,Binary Trees,SYNTHETIC
I need a refresher on Loops to understand Linked Lists,Prerequisite,Linked Lists,SYNTHETIC
I'm stuck on the algorithm for Binary Trees also,Procedural,Binary Trees,SYNTHETIC
I never learned Arrays properly,Prerequisite,SQL Joins,SYNTHETIC
The notation for Graph Traversal is confusing,Terminology,Graph Traversal,SYNTHETIC
I don't understand what Binary Search means,Conceptual,Binary Search,SYNTHETIC
My foundation in Variables is too weak for Pointer Arithmetic basically,Prerequisite,Pointer Arithmetic,SYNTHETIC
What's the difference between Dynamic Programming and Arrays?,Conceptual,Dynamic Programming,SYNTHETIC
I keep mixing up the terminology for Binary Trees really,Terminology,Binary Trees,SYNTHETIC
I'm confused about the concept of Big O Notation,Conceptual,Big O Notation,SYNTHETIC
I'm confused about the concept of Binary Search,Conceptual,Binary Search,SYNTHETIC
What are the steps for Recursion? also,Procedural,Recursion,SYNTHETIC
I can't figure out the process for Hash Tables,Procedural,Hash Tables,SYNTHETIC
What method should I use for Big O Notation?,Procedural,Big O Notation,SYNTHETIC
I never learned Functions properly,Prerequisite,Big O Notation,SYNTHETIC
I think I need to learn Basic Math before Dynamic Programming,Prerequisite,Dynamic Programming,SYNTHETIC
How is Queue Implementation used in practice?,Application,Queue Implementation,SYNTHETIC
I need a refresher on Functions to understand Hash Tables,Prerequisite,Hash Tables,SYNTHETIC
How do I compute Queue Implementation step by step?,Calculation,Queue Implementation,SYNTHETIC
I can solve textbook problems but not real Big O Notation problems,Application,Big O Notation,SYNTHETIC
The procedure for Stack Operations is confusing,Procedural,Stack Operations,SYNTHETIC
The abbreviations in Dynamic Programming are confusing,Terminology,Dynamic Programming,SYNTHETIC
What does the term Pointer Arithmetic mean?,Terminology,Pointer Arithmetic,SYNTHETIC
Give me a real-world example of Hash Tables,Application,Hash Tables,SYNTHETIC
The computation for Big O Notation is confusing,Calculation,Big O Notation,SYNTHETIC
The theory behind Heap Sort makes no sense to me,Conceptual,Heap Sort,SYNTHETIC
I'm confused about the concept of Heap Sort,Conceptual,Heap Sort,SYNTHETIC
I think I need to learn Conditions before Recursion also,Prerequisite,Recursion,SYNTHETIC
Can someone explain Recursion differently?,Conceptual,Recursion,SYNTHETIC
My foundation in Logic Gates is too weak for Recursion,Prerequisite,Recursion,SYNTHETIC
The abbreviations in Pointer Arithmetic are confusing,Terminology,Pointer Arithmetic,SYNTHETIC
I think I need to learn Logic Gates before Sorting Algorithms,Prerequisite,Sorting Algorithms,SYNTHETIC
